Username,Rating,Date and Time,Comment
l*****o,5,2022-11-05 13:28,"Appearance:Nice
Quality:Good
Suitability:For brighter car vision

First bumili dito sa store anh ganda po ang quality tlga malakas yung ilaw di po ako nagsisi na bumili dito"
kenjohn124,5,2023-07-16 12:59,"Suitability:great
Appearance:super nice
Quality:great

item shipped and delivered earlier than expected
well packed no damage, no torn or broken parts
neatly and securedly packed
complete item accessories and quantities
durable built with built in fan for cooling, super bright, hope to last
thank you seller"
4qp9mqdyhr,5,2023-08-14 13:07,"Quality:verygood  quality
Suitability:verygood
Appearance:verygood

goods  na goods siya di siya nakaka silaw sa kasalubong tapos yung sa foglight.kopo ay yung n39 10k lummens tapos sa lowbeam 20k lummens (sakto lang) tapos order ako next time para sa high beam hehehe tapos mabait pa kausap yung seller dabest ay yung pag ship ang bilis nung pag ka order ko ay after ilang oras ay naiship na salamat seller next order again hehehehe"
ranchiekevbiz,5,2023-07-25 18:59,"Quality:10 out of 10
Suitability:10 out of 10
Appearance:10 out of 10

Ordered Received in Good Condition and Packaging this is my first time Purchase this Item"
jecksbabe,5,2023-05-27 01:39,"Suitability:perfect
Appearance:Good
Quality:super bright

So far so good
Very bright LED headlights 
I hope it will last long
Thank you shopee and seller!
Will definitely order again soon!"
dennisbulantahan,5,2022-10-14 14:48,"Suitability:plug and play
Appearance:nice
Quality:matibay

sobrang liwanag at ganda matibay pa..salamat po seller at shopee"
k*****o,5,2023-06-01 00:53,"Appearance:good
Quality:good
Suitability:good

1. Maganda and napakaimpressive yung item.
2. Excellent quality.
3. Very accommodating and responsive Seller 
4. Well-packed and item shipped immediately.
5. Sana maglong last ang nabili kong item."
aubreydaviddumatol,5,2023-01-05 13:52,Ang ganda ng mga item nato sobra..ang astig ng led light hindi pucho pucho..tnx seller na satisfied talaga ako sa item..ang ganda pa nga packaging..
renzranny,5,2022-08-05 12:02,"Appearance:very nice headlights
Quality:sana magtagal, mukha nman matibay.
Suitability:fits sa toyota avanza 2015 j variant

H4 kasi sa unit ko. Ayun napaka linaw na as you see. Reasonable nman ang price.  Thanks seller."
anthonerc.monzon,5,2023-01-09 12:06,"Suitability:10/10
Appearance:10/10
Quality:10/10

thanks seller and shoppee the item is shipped earlier than expected the item is well packed and is safely received"
cxj146195,5,2024-01-13 13:17,"Suitability:10/10
Quality:10/10
Appearance:excellent

Subrang Ganda,, maganda pagka balot at naka box ,walang damage,, grabi Ang lakas ,subrang liwanag,,, ,, 101 percent, ,at mabait pa Yung courier,"
